,survived,pclass,sex,age,sibsp,parch,title,deck,family_size,child
1138,0,3,0,26.5,0,0,Mr,C,0,adult
989,0,3,0,32,0,0,Mr,E,0,adult
294,1,1,1,59,1,0,Mrs,C,1,adult
752,0,3,0,25,0,0,Mr,F,0,adult
96,1,1,1,54,1,1,Mrs,A,2,adult
1269,0,3,0,34,0,0,Mr,E,0,adult
844,0,3,0,30,1,0,Mr,C,1,adult
1238,0,3,0,24,0,0,Mr,B,0,adult
759,1,3,0,36.5,1,0,Mr,G,1,adult
1212,0,3,1,45,1,4,Mrs,B,5,adult
540,0,2,0,27,0,0,Mr,G,0,adult
797,0,3,0,40.5,0,0,Mr,F,0,adult
358,0,2,0,42,0,0,Rev,F,0,adult
353,1,2,1,40,1,1,Mrs,B,2,adult
841,0,3,1,24,0,0,Miss,C,0,adult
467,0,2,0,34,1,0,Mr,B,1,adult
915,0,3,0,33,0,0,Mr,F,0,adult
101,1,1,0,49,1,0,Nobleman,A,1,adult
979,1,3,0,27,0,0,Mr,C,0,adult
180,0,1,0,45.5,0,0,Mr,C,0,adult
784,1,3,0,24,0,0,Mr,D,0,adult
870,0,3,0,28,0,0,Mr,A,0,adult
220,1,1,0,46,0,0,Mr,B,0,adult
290,1,1,1,18,0,2,Miss,E,2,adult
747,1,3,0,29,0,0,Mr,E,0,adult
595,0,2,0,66,0,0,Mr,C,0,adult
250,1,1,0,13,2,2,Nobleman,B,4,child
1281,0,3,0,22,0,0,Mr,F,0,adult
1181,0,3,1,39,1,9,Mrs,E,10,adult
912,0,3,0,21,0,0,Mr,F,0,adult
302,0,1,0,47,0,0,Mr,D,0,adult
1123,1,3,1,4,1,1,Miss,F,2,child
584,1,2,1,40,0,0,Mrs,F,0,adult
1258,1,3,1,9,1,1,Miss,E,2,child
1023,0,3,0,29,0,0,Mr,D,0,adult
1298,0,3,0,25,0,0,Mr,F,0,adult
258,1,1,1,35,1,0,Mrs,C,1,adult
538,0,2,0,34,0,0,Mr,C,0,adult
137,1,1,0,53,0,0,Military,C,0,adult
193,1,1,1,58,0,0,Miss,B,0,adult
45,1,1,1,41,0,0,Miss,E,0,adult
89,1,1,1,33,0,0,Miss,B,0,adult
79,1,1,1,64,0,2,Mrs,E,2,adult
816,0,3,0,14,0,0,Mr,F,0,child
664,0,3,0,26,0,0,Mr,F,0,adult
583,1,2,1,12,0,0,Miss,B,0,child
329,0,2,0,34,1,0,Mr,C,1,adult
1141,0,3,0,21,0,0,Mr,D,0,adult
798,0,3,0,40.5,0,0,Mr,F,0,adult
500,0,2,0,30,0,0,Mr,F,0,adult
16,0,1,0,42,0,0,Mr,C,0,adult
506,0,2,0,48,0,0,Mr,C,0,adult
151,0,1,0,40,0,0,Mr,B,0,adult
548,0,2,0,23,0,0,Mr,D,0,adult
49,1,1,1,53,0,0,Mrs,B,0,adult
1055,0,3,1,61,0,0,Miss,F,0,adult
513,0,2,0,32.5,1,0,Mr,B,1,adult
1045,1,3,1,17,0,0,Miss,E,0,child
956,0,3,1,2,3,1,Miss,E,4,child
1063,0,3,0,21,0,0,Mr,F,0,adult
1217,1,3,1,20,0,0,Miss,C,0,adult
1084,0,3,0,28,0,0,Mr,C,0,adult
310,1,1,1,31,0,2,Miss,C,2,adult
623,0,3,0,4,4,2,Nobleman,C,6,child
1097,0,3,0,2,3,1,Nobleman,A,4,child
667,0,3,1,45,0,1,Mrs,F,1,adult
1169,0,3,0,20,0,0,Mr,F,0,adult
221,1,1,1,22,0,1,Miss,B,1,adult
362,1,2,1,22,1,1,Mrs,C,2,adult
343,1,2,1,36,0,3,Mrs,F,3,adult
974,0,3,0,45,0,0,Mr,F,0,adult
1174,0,3,1,14,8,2,Miss,D,10,child
367,0,2,0,54,1,0,Rev,D,1,adult
361,1,2,0,26,1,1,Mr,E,2,adult
484,1,2,1,30,0,0,Miss,E,0,adult
1116,0,3,0,32,0,0,Mr,F,0,adult
1054,0,3,0,30,0,0,Mr,A,0,adult
1211,0,3,0,40,1,4,Mr,D,5,adult
99,1,1,1,48,1,0,Mrs,C,1,adult
3,0,1,1,2,1,2,Miss,C,3,child
1241,1,3,0,0.4167,0,1,Nobleman,E,1,child
1283,0,3,0,26,0,0,Mr,A,0,adult
985,1,3,1,19,0,0,Miss,C,0,adult
387,0,2,0,18,0,0,Mr,F,0,adult
489,0,2,0,50,1,0,Mr,E,1,adult
685,0,3,1,32,1,1,Mrs,D,2,adult
4,0,1,0,30,1,2,Mr,C,3,adult
1010,0,3,0,20,0,0,Mr,F,0,adult
646,1,3,0,23,0,0,Mr,F,0,adult
713,0,3,0,24,0,0,Mr,C,0,adult
1073,0,3,0,21,0,0,Mr,F,0,adult
234,1,1,1,56,0,1,Mrs,C,1,adult
332,0,2,0,18,0,0,Mr,F,0,adult
1166,0,3,0,25,0,0,Mr,C,0,adult
573,1,2,1,28,0,0,Mrs,D,0,adult
479,1,2,1,1,1,2,Miss,C,3,child
1094,0,3,0,16,0,0,Mr,F,0,child
1013,0,3,1,22.5,0,0,Miss,E,0,adult
765,0,3,0,26,1,2,Mr,G,3,adult
226,0,1,0,23,0,0,Mr,B,0,adult
195,0,1,0,30,0,0,Mr,C,0,adult
835,0,3,0,32,0,0,Mr,A,0,adult
1297,0,3,0,27,0,0,Mr,E,0,adult
229,0,1,0,18,1,0,Mr,C,1,adult
920,0,3,0,18.5,0,0,Mr,F,0,adult
869,0,3,0,43,0,0,Mr,F,0,adult
534,1,2,1,21,0,1,Miss,F,1,adult
126,0,1,0,40,0,0,Mr,B,0,adult
1026,1,3,0,6,0,1,Nobleman,E,1,child
958,0,3,1,8,3,1,Miss,C,4,child
106,0,1,1,36,0,0,Miss,A,0,adult
853,0,3,1,45,0,0,Miss,F,0,adult
499,0,2,0,32,0,0,Mr,A,0,adult
1256,0,3,0,18.5,0,0,Mr,C,0,adult
1108,0,3,0,21,0,0,Mr,C,0,adult
31,0,1,0,45,0,0,Mr,T,0,adult
1029,1,3,1,9,1,0,Miss,E,1,child
1091,0,3,1,23,0,0,Miss,D,0,adult
116,0,1,0,64,1,4,Mr,C,5,adult
359,1,2,1,42,0,0,Mrs,D,0,adult
386,1,2,0,8,1,1,Nobleman,F,2,child
617,0,3,0,24,0,0,Mr,F,0,adult
1031,0,3,0,20,0,0,Mr,C,0,adult
848,0,3,0,23.5,0,0,Mr,E,0,adult
423,0,2,0,24,0,0,Mr,C,0,adult
776,0,3,0,22,0,0,Mr,E,0,adult
547,1,2,1,28,0,0,Miss,B,0,adult
1270,0,3,0,33,0,0,Mr,F,0,adult
531,0,2,0,19,0,0,Mr,C,0,adult
1067,0,3,0,28.5,0,0,Mr,F,0,adult
761,1,3,0,30,0,0,Mr,C,0,adult
801,0,3,1,30,0,0,Miss,C,0,adult
379,0,2,0,31,1,1,Mr,F,2,adult
988,0,3,1,21,0,0,Miss,F,0,adult
253,0,1,0,61,1,3,Mr,B,4,adult
1144,0,3,0,7,4,1,Nobleman,F,5,child
615,0,3,0,26,0,0,Mr,C,0,adult
687,1,3,1,22,0,0,Miss,D,0,adult
385,0,2,0,51,0,0,Mr,C,0,adult
1072,1,3,1,30,1,0,Mrs,D,1,adult
1150,1,3,1,23,0,0,Miss,D,0,adult
50,1,1,0,36,0,1,Mr,B,1,adult
676,0,3,0,21,0,0,Mr,F,0,adult
858,1,3,0,27,0,0,Mr,C,0,adult
481,0,2,0,25,1,2,Mr,E,3,adult
43,1,1,1,59,2,0,Mrs,C,2,adult
1218,0,3,0,19,0,0,Mr,F,0,adult
577,0,2,0,40,0,0,Mr,C,0,adult
551,1,2,1,24,2,3,Mrs,F,5,adult
1290,0,3,0,21,1,0,Mr,D,1,adult
555,0,2,0,26,0,0,Mr,D,0,adult
252,1,1,1,21,2,2,Miss,B,4,adult
371,1,2,1,25,1,1,Miss,D,2,adult
364,0,2,0,36,0,0,Mr,C,0,adult
1303,0,3,0,37,0,0,Mr,F,0,adult
1136,0,3,0,30,0,0,Mr,B,0,adult
866,0,3,1,22,0,0,Miss,A,0,adult
1245,1,3,1,16,1,1,Mrs,F,2,child
425,0,2,0,30,0,0,Mr,C,0,adult
1061,1,3,1,18,0,0,Miss,D,0,adult
1268,0,3,1,30,1,1,Mrs,B,2,adult
886,0,3,0,17,1,0,Mr,C,1,child
1117,0,3,0,24,0,0,Mr,E,0,adult
998,1,3,1,18,0,0,Mrs,C,0,adult
545,0,2,0,34,1,0,Mr,C,1,adult
1275,0,3,0,31,3,0,Mr,C,3,adult
33,1,1,1,30,0,0,Miss,C,0,adult
1004,1,3,0,32,2,0,Mr,D,2,adult
439,1,2,1,24,1,2,Miss,D,3,adult
579,0,2,0,30,1,0,Mr,D,1,adult
134,1,1,0,49,1,0,Mr,C,1,adult
383,0,2,1,31,0,0,Mrs,C,0,adult
105,1,1,1,54,1,0,Miss,D,1,adult
1250,0,3,0,19,0,0,Mr,F,0,adult
604,1,3,1,35,1,1,Mrs,C,2,adult
940,0,3,1,36,0,2,Mrs,E,2,adult
1090,0,3,0,20,0,0,Mr,A,0,adult
231,1,1,1,30,0,0,Miss,B,0,adult
1209,0,3,1,9,3,2,Miss,C,5,child
434,0,2,0,30,0,0,Mr,B,0,adult
414,0,2,0,38,1,0,Mr,C,1,adult
1128,0,3,0,19,0,0,Mr,F,0,adult
129,0,1,0,47,0,0,Mr,E,0,adult
783,0,3,0,65,0,0,Mr,D,0,adult
610,0,3,0,26,0,0,Mr,F,0,adult
527,1,2,0,29,0,0,Mr,D,0,adult
39,0,1,0,41,0,0,Mr,A,0,adult
207,0,1,0,44,2,0,Dr,C,2,adult
929,0,3,1,24,1,0,Mrs,B,1,adult
970,0,3,1,30,1,0,Mrs,C,1,adult
396,1,2,1,18,0,1,Miss,B,1,adult
524,1,2,0,22,0,0,Mr,F,0,adult
291,0,1,0,52,1,1,Mr,E,2,adult
762,0,3,0,16,0,0,Mr,F,0,child
194,1,1,1,15,0,1,Miss,B,1,child
936,1,3,0,29,3,1,Mr,C,4,adult
1235,0,3,0,25,0,0,Mr,F,0,adult
662,1,3,1,18,0,0,Miss,D,0,adult
482,1,2,1,22,1,2,Mrs,D,3,adult
308,0,1,0,21,0,1,Mr,D,1,adult
821,1,3,0,9,0,2,Nobleman,E,2,child
980,0,3,0,51,0,0,Mr,C,0,adult
478,0,2,0,20,0,0,Mr,C,0,adult
627,0,3,1,38,4,2,Miss,C,6,adult
568,0,2,0,25,0,0,Mr,A,0,adult
82,0,1,0,70,1,1,Military,B,2,adult
1291,1,3,1,47,1,0,Mrs,C,1,adult
1124,1,3,1,26,0,2,Mrs,G,2,adult
512,0,2,0,62,0,0,Mr,D,0,adult
708,0,3,0,28,0,0,Mr,C,0,adult
268,0,1,0,56,0,0,Mr,A,0,adult
742,0,3,0,22.5,0,0,Mr,A,0,adult
1154,0,3,1,47,1,0,Mrs,C,1,adult
447,1,2,1,20,2,1,Miss,F,3,adult
983,0,3,0,19,0,0,Mr,F,0,adult
1231,0,3,1,2,0,1,Miss,G,1,child
284,0,1,0,39,0,0,Mr,B,0,adult
399,1,2,0,8,0,2,Nobleman,E,2,child
1021,0,3,0,21,0,0,Mr,E,0,adult
1253,0,3,0,44,0,0,Mr,E,0,adult
796,0,3,0,21,0,0,Mr,D,0,adult
1003,1,3,1,22,2,0,Miss,D,2,adult
175,0,1,0,58,0,0,Mr,B,0,adult
990,0,3,0,24,0,0,Mr,D,0,adult
501,0,2,0,46,0,0,Mr,C,0,adult
1240,0,3,0,34,0,0,Mr,D,0,adult
626,1,3,1,17,4,2,Miss,A,6,child
1015,0,3,1,27,0,0,Mrs,G,0,adult
769,0,3,0,28,0,0,Mr,C,0,adult
1161,0,3,0,50,0,0,Mr,F,0,adult
959,0,3,1,38,0,4,Mrs,E,4,adult
201,0,1,0,46,0,0,Mr,C,0,adult
799,1,3,0,17,0,0,Mr,F,0,child
1111,0,3,0,32,0,0,Mr,E,0,adult
863,1,3,1,22,0,0,Miss,F,0,adult
1234,1,3,0,44,0,0,Mr,B,0,adult
428,1,2,0,0.6667,1,1,Nobleman,F,2,child
800,0,3,0,18,0,0,Mr,F,0,adult
267,0,1,0,56,0,0,Mr,C,0,adult
745,0,3,0,19,0,0,Mr,E,0,adult
896,1,3,1,1,1,1,Miss,G,2,child
103,1,1,1,23,0,1,Mrs,C,1,adult
146,1,1,0,48,1,0,Mr,D,1,adult
67,1,1,1,36,0,0,Miss,B,0,adult
888,1,3,0,30,0,0,Mr,E,0,adult
872,0,3,0,29,0,0,Mr,F,0,adult
807,0,3,1,21,2,2,Miss,E,4,adult
1076,0,3,0,23,0,0,Mr,C,0,adult
93,1,1,1,17,1,0,Mrs,B,1,child
986,1,3,0,24,0,0,Mr,B,0,adult
1110,0,3,0,21,0,0,Mr,A,0,adult
964,0,3,0,36,0,0,Mr,B,0,adult
982,1,3,0,32,0,0,Mr,C,0,adult
313,0,1,0,50,1,1,Mr,C,2,adult
260,1,1,0,34,0,0,Mr,E,0,adult
806,1,3,0,26,0,0,Mr,D,0,adult
859,1,3,0,26,0,0,Mr,E,0,adult
36,1,1,1,45,0,0,Miss,C,0,adult
1131,0,3,1,18,0,0,Miss,F,0,adult
576,0,2,1,27,1,0,Mrs,E,1,adult
1230,0,3,0,27,0,0,Mr,C,0,adult
125,1,1,1,48,1,1,Mrs,B,2,adult
743,1,3,0,45,0,0,Mr,E,0,adult
975,0,3,0,30,1,0,Mr,F,1,adult
395,0,2,0,18,0,0,Mr,F,0,adult
856,0,3,0,11,0,0,Mr,E,0,child
410,0,2,0,36,0,0,Mr,D,0,adult
1183,1,3,1,21,0,0,Miss,F,0,adult
330,1,2,1,36,1,0,Mrs,E,1,adult
656,0,3,0,32,1,0,Mr,C,1,adult
993,0,3,1,30.5,0,0,Miss,C,0,adult
1202,0,3,0,22,0,0,Mr,F,0,adult
1280,0,3,1,14,0,0,Miss,F,0,child
972,0,3,0,21,0,0,Mr,C,0,adult
631,1,3,0,27,0,0,Mr,C,0,adult
215,1,1,1,23,1,0,Miss,D,1,adult
716,0,3,0,29,0,0,Mr,D,0,adult
946,1,3,0,43,0,0,Mr,E,0,adult
567,0,2,0,41,0,0,Mr,C,0,adult
236,1,1,0,61,0,0,Mr,B,0,adult
831,0,3,0,14,5,2,Mr,C,7,child
241,1,1,0,45,0,0,Mr,B,0,adult
1163,1,3,0,32,0,0,Mr,C,0,adult
961,0,3,0,34.5,0,0,Mr,F,0,adult
1198,0,3,0,21,0,0,Mr,D,0,adult
213,0,1,0,37,0,1,Mr,C,1,adult
515,1,2,0,2,1,1,Nobleman,F,2,child
911,0,3,0,17,0,0,Mr,F,0,child
325,1,2,1,28,1,0,Mrs,D,1,adult
1179,0,3,0,14,8,2,Mr,C,10,child
2,1,1,0,0.9167,1,2,Nobleman,C,3,child
212,0,1,0,47,0,0,Mr,C,0,adult
432,0,2,0,28,0,1,Rev,C,1,adult
1135,0,3,0,24,0,0,Mr,C,0,adult
923,1,3,1,19,0,0,Miss,E,0,adult
585,1,2,1,32.5,0,0,Miss,E,0,adult
507,0,2,0,70,0,0,Mr,C,0,adult
276,1,1,1,40,1,1,Mrs,E,2,adult
949,0,3,0,65,0,0,Mr,C,0,adult
508,0,2,0,27,0,0,Rev,C,0,adult
566,0,2,0,25,0,0,Mr,F,0,adult
1145,0,3,0,2,4,1,Nobleman,E,5,child
174,0,1,0,32.5,0,0,Mr,C,0,adult
602,0,3,0,13,0,2,Nobleman,G,2,child
719,0,3,0,20,0,0,Mr,F,0,adult
38,1,1,0,30,0,0,Mr,C,0,adult
1042,0,3,0,35,0,0,Mr,C,0,adult
280,0,1,0,62,0,0,Mr,C,0,adult
818,0,3,0,22,0,0,Mr,B,0,adult
779,1,3,1,30,0,0,Miss,B,0,adult
996,0,3,0,35,0,0,Mr,F,0,adult
6,1,1,0,48,0,0,Mr,E,0,adult
699,0,3,0,18,0,0,Mr,F,0,adult
171,1,1,0,49,0,0,Mr,B,0,adult
893,0,3,0,31,0,0,Mr,C,0,adult
91,1,1,1,27,1,2,Mrs,B,3,adult
1271,0,3,0,28,0,0,Mr,F,0,adult
836,0,3,0,36,0,0,Mr,D,0,adult
115,0,1,0,19,3,2,Mr,C,5,adult
1249,0,3,0,32,0,0,Mr,E,0,adult
1199,1,3,1,22,0,0,Miss,F,0,adult
1266,0,3,1,10,0,2,Miss,D,2,child
21,1,1,0,37,1,1,Mr,D,2,adult
409,0,2,0,18,0,0,Mr,F,0,adult
318,1,1,0,21,0,1,Mr,E,1,adult
875,1,3,0,18,0,0,Mr,E,0,adult
1087,0,3,1,31,0,0,Miss,G,0,adult
158,0,1,0,65,0,0,Mr,E,0,adult
939,0,3,0,18,1,1,Mr,F,2,adult
23,1,1,0,26,0,0,Mr,C,0,adult
347,0,2,0,26,0,0,Mr,E,0,adult
706,0,3,0,17,1,0,Mr,F,1,child
271,1,1,1,18,1,0,Mrs,C,1,adult
857,1,3,1,15,0,0,Miss,C,0,child
441,1,2,1,48,1,2,Mrs,B,3,adult
190,0,1,0,29,0,0,Mr,D,0,adult
1086,0,3,0,17,0,0,Mr,F,0,child
1172,0,3,0,14.5,8,2,Nobleman,C,10,child
827,0,3,0,1,5,2,Nobleman,C,7,child
118,1,1,1,30,0,0,Miss,E,0,adult
720,1,3,0,18,0,0,Mr,F,0,adult
405,0,2,0,21,0,0,Mr,F,0,adult
78,0,1,0,37,1,1,Mr,E,2,adult
29,1,1,1,35,0,0,Miss,C,0,adult
1089,1,3,0,32,0,0,Mr,F,0,adult
1225,0,3,0,21,0,0,Mr,F,0,adult
992,1,3,0,19,0,0,Mr,C,0,adult
1019,0,3,0,22,0,0,Mr,E,0,adult
1034,1,3,0,26,0,0,Mr,F,0,adult
978,0,3,0,20.5,0,0,Mr,F,0,adult
451,0,2,0,50,0,0,Mr,A,0,adult
951,0,3,0,29,0,0,Mr,D,0,adult
491,0,2,1,57,0,0,Mrs,E,0,adult
1200,0,3,0,21,0,0,Mr,F,0,adult
92,1,1,0,31,1,0,Mr,B,1,adult
1005,1,3,1,17,0,0,Miss,E,0,child
678,0,3,0,26,0,0,Mr,F,0,adult
62,1,1,1,76,1,0,Mrs,C,1,adult
120,1,1,0,50,2,0,Dr,E,2,adult
25,1,1,1,29,0,0,Miss,C,0,adult
1299,0,3,0,36,0,0,Mr,D,0,adult
375,0,2,0,29,0,0,Mr,F,0,adult
10,0,1,0,71,0,0,Mr,C,0,adult
437,1,2,1,45,1,1,Mrs,E,2,adult
933,0,3,1,22,2,0,Miss,D,2,adult
282,1,1,1,43,1,0,Mrs,C,1,adult
102,0,1,0,39,0,0,Mr,A,0,adult
1143,0,3,0,4,4,1,Nobleman,E,5,child
